energy-kcal_100g,energy_100g,fat_100g,carbohydrates_100g,proteins_100g
278.02,1485.4,8.346,24.078,10.43399994277954
218.75,915.0,15.625,15.625,0.0
400.0,1670.0,0.0,80.0,0.0
418.18181818182,1750.0,20.0,54.545454545455,5.4545454545455
220.0,920.0,7.0,38.0,7.0
23.809523809524,100.0,0.0,4.7619047619048,2.3809523809524
45.0,188.0,0.0,12.11,0.0
645.0,2699.0,64.232,32.6,3.432
0.0,0.0,0.0,0.0,0.0
27.13987473904,114.0,0.0,7.3068893528184,0.0
378.298498498498,1441.6,8.06666,44.2069562165634,6.7258095238096
15.0,63.0,0.5,0.0,2.0
714.0,2987.0,78.57,0.0,0.0
645.0,2699.0,64.232,32.6,3.432
48.0,201.0,0.0,9.68,0.0
110.0,460.0,11.0,1.0,7.2
371.0,1465.0,2.4,3.2,83.0
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
286.0,1197.0,2.38,54.29,11.43
35.0,146.0,0.59,4.71,3.53
387.1,1620.0,3.23,77.42,9.68
21.0,88.0,15.0,4.59,18.0
170.0,711.0,6.0,22.0,5.0
1470.58823529412,6153.0,3.6764705882353,8.82352941176471,19.1176470588235
393.0,1644.0,32.14,3.57,25.0
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
66.67,279.0,0.0,13.33,0.0
350.0,1464.0,0.0,90.0,0.0
61.4,1083.6,1.8,19.0,2.8940000023841863
389.0,1628.0,0.0,94.44,0.0
0.0,0.0,0.0,0.0,0.0
455.0,1900.0,36.4,0.0,36.4
268.625287356322,1088.6,15.10444444444446,27.5364705882353,6.359999999999999
310.0,1297.0,9.86,45.07,12.68
403.0190476190476,1535.8,28.36476190476194,27.817142857142848,2.838
565.0,2364.0,45.2,31.07,16.95
633.0,2648.0,2.4,0.0,32.0
86.0,360.0,0.0,22.66,0.0
66.0,276.0,1.26,13.13,1.01
211.0,881.0,0.877,42.1,7.02
266.0,1113.0,1.6,54.26,10.64
479.16666666667,2005.0,25.0,50.0,12.5
61.4,1083.6,1.8,19.0,2.8940000023841863
366.6667,1534.0,5.0,70.0,10.0
403.0190476190476,1535.8,28.36476190476194,27.817142857142848,2.838
75.0,314.0,1.0416666666667,13.333333333333,3.3333333333333
438.0,1833.0,14.06,75.0,6.25
170.0,711.0,4.0,28.0,5.0
403.0190476190476,1535.8,28.36476190476194,27.817142857142848,2.838
96.8,405.0,2.02,19.4,1.61
82.4,345.0,1.18,1.18,17.6
357.0,1494.0,28.57,0.0,25.0
263.0,1100.0,13.2,34.2,2.63
84.0,351.0,5.47,7.72,1.93
171.42857142857,717.0,5.0,28.571428571429,4.2857142857143
196.0,820.0,14.29,0.0,16.96
600.0,2510.0,50.0,40.0,10.0
222.0,929.0,0.0,55.56,0.0
132.0,553.0,3.77,34.0,18.9
34.6,144.0,0.9,2.9,3.6
485.0,2029.0,18.18,75.76,3.03
360.0,1506.0,20.0,36.0,4.0
645.0,2699.0,64.232,32.6,3.432
69.0,289.0,0.0,17.69,0.0
89.0,372.0,0.0,14.29,3.57
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
414.0,1732.0,10.34,75.86,6.9
